seq,request_total,request_was_590,request_was_plscore,request_was_verified,percetage_request_was_590,percetage_request_was_plscore,percetage_request_was_verified,uq_user
2019-08-13 00:00:00,1,0,0,0,0,0,0,0
2019-08-20 00:00:00,1,0,0,0,0,0,0,0
2019-08-27 00:00:00,1,0,0,0,0,0,0,0
2019-09-03 00:00:00,1,0,0,0,0,0,0,0
2019-09-10 00:00:00,1,0,0,0,0,0,0,0
2019-09-17 00:00:00,1,0,0,0,0,0,0,0
2019-09-24 00:00:00,1,0,0,0,0,0,0,0
2019-10-01 00:00:00,1,0,0,0,0,0,0,0
2019-10-08 00:00:00,1,0,0,0,0,0,0,0
2019-10-15 00:00:00,1,0,0,0,0,0,0,0
2019-10-22 00:00:00,1,0,0,0,0,0,0,0
2019-10-29 00:00:00,1,0,0,0,0,0,0,0
2019-11-05 00:00:00,1,0,0,0,0,0,0,0
2019-11-12 00:00:00,1,0,0,0,0,0,0,0
2019-11-19 00:00:00,1,0,0,0,0,0,0,0
2019-11-26 00:00:00,1,0,0,0,0,0,0,0
2019-12-03 00:00:00,1,0,0,0,0,0,0,0
2019-12-10 00:00:00,1,0,0,0,0,0,0,0
2019-12-17 00:00:00,1,0,0,0,0,0,0,0
2019-12-24 00:00:00,1,0,0,0,0,0,0,0
2019-12-31 00:00:00,1,0,0,0,0,0,0,0
2020-01-07 00:00:00,1,0,0,0,0,0,0,0
2020-01-14 00:00:00,1,0,0,0,0,0,0,0
2020-01-21 00:00:00,1,0,0,0,0,0,0,0
2020-01-28 00:00:00,1,0,0,0,0,0,0,0
2020-02-04 00:00:00,1,0,0,0,0,0,0,0
2020-02-11 00:00:00,1,0,0,0,0,0,0,0
2020-02-18 00:00:00,1,0,0,0,0,0,0,0
2020-02-25 00:00:00,1,0,0,0,0,0,0,0
2020-03-03 00:00:00,1,0,0,0,0,0,0,0
2020-03-10 00:00:00,1,0,0,0,0,0,0,0
2020-03-17 00:00:00,1,0,0,0,0,0,0,0
2020-03-24 00:00:00,1,0,0,0,0,0,0,0
2020-03-31 00:00:00,1,0,0,0,0,0,0,0
2020-04-07 00:00:00,1,0,0,0,0,0,0,0
2020-04-14 00:00:00,1,0,0,0,0,0,0,0
2020-04-21 00:00:00,1,0,0,0,0,0,0,0
2020-04-28 00:00:00,1,0,0,0,0,0,0,0
2020-05-05 00:00:00,1,0,0,0,0,0,0,0
2020-05-12 00:00:00,1,0,0,0,0,0,0,0
2020-05-19 00:00:00,1,0,0,0,0,0,0,0
2020-05-26 00:00:00,1,0,0,0,0,0,0,0
2020-06-02 00:00:00,1,0,0,0,0,0,0,0
2020-06-09 00:00:00,1,0,0,0,0,0,0,0
2020-06-16 00:00:00,1,0,0,0,0,0,0,0
2020-06-23 00:00:00,1,0,0,0,0,0,0,0
2020-06-30 00:00:00,1,0,0,0,0,0,0,0
2020-07-07 00:00:00,1,0,0,0,0,0,0,0
2020-07-14 00:00:00,1,0,0,0,0,0,0,0
2020-07-21 00:00:00,1,0,0,0,0,0,0,0
2020-07-28 00:00:00,1,0,0,0,0,0,0,0
2020-08-04 00:00:00,1,0,0,0,0,0,0,0
2020-08-11 00:00:00,1,0,0,0,0,0,0,0
2020-08-18 00:00:00,1,0,0,0,0,0,0,0
2020-08-25 00:00:00,1,0,0,0,0,0,0,0
2020-09-01 00:00:00,1,0,0,0,0,0,0,0
2020-09-08 00:00:00,1,0,0,0,0,0,0,0
2020-09-15 00:00:00,1,0,0,0,0,0,0,0
2020-09-22 00:00:00,1,0,0,0,0,0,0,0
2020-09-29 00:00:00,1,0,0,0,0,0,0,0
2020-10-06 00:00:00,1,0,0,0,0,0,0,0
2020-10-13 00:00:00,1,0,0,0,0,0,0,0
2020-10-20 00:00:00,1,0,0,0,0,0,0,0
2020-10-27 00:00:00,1,0,0,0,0,0,0,0
2020-11-03 00:00:00,1,0,0,0,0,0,0,0
2020-11-10 00:00:00,1,0,0,0,0,0,0,0
2020-11-17 00:00:00,1,0,0,0,0,0,0,0
2020-11-24 00:00:00,1,0,0,0,0,0,0,0
2020-12-01 00:00:00,1,0,0,0,0,0,0,0
2020-12-08 00:00:00,1,0,0,0,0,0,0,0
2020-12-15 00:00:00,1,0,0,0,0,0,0,0
2020-12-22 00:00:00,1,0,0,0,0,0,0,0
2020-12-29 00:00:00,1,0,0,0,0,0,0,0
2021-01-05 00:00:00,1,0,0,0,0,0,0,0
2021-01-12 00:00:00,1,0,0,0,0,0,0,0
2021-01-19 00:00:00,1,0,0,0,0,0,0,0
2021-01-26 00:00:00,1,0,0,0,0,0,0,0
2021-02-02 00:00:00,1,0,0,0,0,0,0,0
2021-02-09 00:00:00,1,0,0,0,0,0,0,0
2021-02-16 00:00:00,1,0,0,0,0,0,0,0
2021-02-23 00:00:00,1,0,0,0,0,0,0,0
2021-03-02 00:00:00,1,0,0,0,0,0,0,0
2021-03-09 00:00:00,1,0,0,0,0,0,0,0
2021-03-16 00:00:00,1,0,0,0,0,0,0,0
2021-03-23 00:00:00,1,0,0,0,0,0,0,0
2021-03-30 00:00:00,1,0,0,0,0,0,0,0
2021-04-06 00:00:00,1,0,0,0,0,0,0,0
2021-04-13 00:00:00,1,0,0,0,0,0,0,0
2021-04-20 00:00:00,1,0,0,0,0,0,0,0
2021-04-27 00:00:00,1,0,0,0,0,0,0,0
2021-05-04 00:00:00,1,0,0,0,0,0,0,0
2021-05-11 00:00:00,1,0,0,0,0,0,0,0
2021-05-18 00:00:00,1,0,0,0,0,0,0,0
2021-05-25 00:00:00,1,0,0,0,0,0,0,0
2021-06-01 00:00:00,1,0,0,0,0,0,0,0
2021-06-08 00:00:00,1,0,0,0,0,0,0,0
2021-06-15 00:00:00,1,0,0,0,0,0,0,0
2021-06-22 00:00:00,1,0,0,0,0,0,0,0
2021-06-29 00:00:00,1,0,0,0,0,0,0,0
2021-07-06 00:00:00,1,0,0,0,0,0,0,0
2021-07-13 00:00:00,1,0,0,0,0,0,0,0
2021-07-20 00:00:00,1,0,0,0,0,0,0,0
2021-07-27 00:00:00,1,0,0,0,0,0,0,0
2021-08-03 00:00:00,1,0,0,0,0,0,0,0
2021-08-10 00:00:00,1,0,0,0,0,0,0,0
